"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
970,"2018-01-01 13:50:57.4340","2018-01-01 14:07:08.1860",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,505,"6 Ave & W 33 St",40.74901271,-73.98848395,31956,"Subscriber",1992,1
723,"2018-01-01 15:33:30.1820","2018-01-01 15:45:33.3410",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,3255,"8 Ave & W 31 St",40.7505853470215,-73.9946848154068,32536,"Subscriber",1969,1
496,"2018-01-01 15:39:18.3370","2018-01-01 15:47:35.1720",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,525,"W 34 St & 11 Ave",40.75594159,-74.0021163,16069,"Subscriber",1956,1
306,"2018-01-01 15:40:13.3720","2018-01-01 15:45:20.1910",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,447,"8 Ave & W 52 St",40.76370739,-73.9851615,31781,"Subscriber",1974,1
306,"2018-01-01 18:14:51.5680","2018-01-01 18:19:57.6420",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,3356,"Amsterdam Ave & W 66 St",40.7746671,-73.98470567,30319,"Subscriber",1992,1
1602,"2018-01-01 21:31:54.1920","2018-01-01 21:58:36.3530",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,482,"W 15 St & 7 Ave",40.73935542,-73.99931783,30106,"Subscriber",1968,1
722,"2018-01-02 07:54:53.6460","2018-01-02 08:06:55.8720",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,228,"E 48 St & 3 Ave",40.7546011026,-73.971878855,32059,"Subscriber",1978,1
434,"2018-01-02 08:06:14.3310","2018-01-02 08:13:28.7670",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,173,"Broadway & W 49 St",40.76068327096592,-73.9845272898674,30525,"Subscriber",1983,1
366,"2018-01-02 08:10:15.2550","2018-01-02 08:16:21.8960",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,479,"9 Ave & W 45 St",40.76019252,-73.9912551,27439,"Subscriber",1974,1
324,"2018-01-02 08:13:30.8960","2018-01-02 08:18:55.1200",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,450,"W 49 St & 8 Ave",40.76227205,-73.98788205,30892,"Subscriber",1947,1
1155,"2018-01-02 09:15:29.9050","2018-01-02 09:34:45.0200",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,347,"Greenwich St & W Houston St",40.728846,-74.008591,31591,"Subscriber",1982,1
1200,"2018-01-02 10:23:18.8800","2018-01-02 10:43:18.9110",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,127,"Barrow St & Hudson St",40.73172428,-74.00674436,30257,"Subscriber",1974,1
732,"2018-01-02 11:52:37.5540","2018-01-02 12:04:49.8800",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,3635,"W 36 St & 9 Ave",40.75462324029105,-73.99516761302948,32649,"Subscriber",1969,1
600,"2018-01-02 12:20:57.0070","2018-01-02 12:30:57.0180",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,457,"Broadway & W 58 St",40.76695317,-73.98169333,26964,"Subscriber",1991,1
1058,"2018-01-02 13:28:46.1540","2018-01-02 13:46:24.3070",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,523,"W 38 St & 8 Ave",40.75466591,-73.99138152,32617,"Subscriber",1947,1
256,"2018-01-02 13:54:11.6460","2018-01-02 13:58:28.1980",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,514,"12 Ave & W 40 St",40.76087502,-74.00277668,31095,"Subscriber",1978,1
318,"2018-01-02 13:55:11.9200","2018-01-02 14:00:29.9410",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,478,"11 Ave & W 41 St",40.76030096,-73.99884222,31182,"Subscriber",1963,1
694,"2018-01-02 14:27:49.6230","2018-01-02 14:39:24.1270",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,484,"W 44 St & 5 Ave",40.75500254,-73.98014437,32375,"Subscriber",1967,1
604,"2018-01-02 15:04:41.3810","2018-01-02 15:14:45.7090",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,3635,"W 36 St & 9 Ave",40.75462324029105,-73.99516761302948,32505,"Subscriber",1964,1
724,"2018-01-02 15:25:00.5410","2018-01-02 15:37:05.3230",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,490,"8 Ave & W 33 St",40.751551,-73.993934,19512,"Subscriber",1965,1
395,"2018-01-02 15:37:55.9310","2018-01-02 15:44:31.0550",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,514,"12 Ave & W 40 St",40.76087502,-74.00277668,17881,"Subscriber",1956,1
520,"2018-01-02 16:09:21.1800","2018-01-02 16:18:02.0510",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,500,"Broadway & W 51 St",40.76228826,-73.98336183,31426,"Customer",1969,0
430,"2018-01-02 16:10:59.3790","2018-01-02 16:18:10.0110",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,500,"Broadway & W 51 St",40.76228826,-73.98336183,32349,"Customer",1969,0
842,"2018-01-02 16:34:16.2920","2018-01-02 16:48:18.6180",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,490,"8 Ave & W 33 St",40.751551,-73.993934,31019,"Subscriber",1978,1
243,"2018-01-02 16:36:12.6120","2018-01-02 16:40:15.7660",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,479,"9 Ave & W 45 St",40.76019252,-73.9912551,29984,"Subscriber",1973,1
705,"2018-01-02 16:36:14.3160","2018-01-02 16:47:59.7340",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,477,"W 41 St & 8 Ave",40.75640548,-73.9900262,20922,"Subscriber",1992,1
1163,"2018-01-02 16:43:09.9290","2018-01-02 17:02:33.2530",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,3466,"W 45 St & 6 Ave (OLD)",40.75668720603179,-73.98257732391357,33277,"Subscriber",1974,1
680,"2018-01-02 16:58:34.7080","2018-01-02 17:09:55.0030",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,490,"8 Ave & W 33 St",40.751551,-73.993934,16425,"Subscriber",1964,1
634,"2018-01-02 17:04:25.6190","2018-01-02 17:14:59.7750",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,484,"W 44 St & 5 Ave",40.75500254,-73.98014437,28382,"Subscriber",1977,1
782,"2018-01-02 17:13:04.4750","2018-01-02 17:26:06.8250",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,3255,"8 Ave & W 31 St",40.7505853470215,-73.9946848154068,30649,"Subscriber",1982,1
638,"2018-01-02 17:15:42.2560","2018-01-02 17:26:21.1640",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,490,"8 Ave & W 33 St",40.751551,-73.993934,19809,"Subscriber",1973,1
447,"2018-01-02 17:30:34.4740","2018-01-02 17:38:01.8490",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,529,"W 42 St & 8 Ave",40.7575699,-73.99098507,25609,"Subscriber",1996,1
1450,"2018-01-02 17:39:43.6510","2018-01-02 18:03:54.3190",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,3459,"E 53 St & 3 Ave",40.75763227739443,-73.96930575370789,19627,"Subscriber",1985,1
322,"2018-01-02 18:01:36.1170","2018-01-02 18:06:58.3390",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,3236,"W 42 St & Dyer Ave",40.75898481399634,-73.99379968643188,25137,"Subscriber",1960,1
458,"2018-01-02 18:02:48.5040","2018-01-02 18:10:27.0200",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,525,"W 34 St & 11 Ave",40.75594159,-74.0021163,33185,"Subscriber",1962,1
603,"2018-01-02 18:24:18.6830","2018-01-02 18:34:21.8650",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,3233,"E 48 St & 5 Ave",40.75724567911726,-73.97805914282799,33185,"Subscriber",1959,1
658,"2018-01-02 18:25:35.9430","2018-01-02 18:36:34.0990",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,465,"Broadway & W 41 St",40.75513557,-73.98658032,31095,"Subscriber",1965,1
307,"2018-01-02 18:40:32.1030","2018-01-02 18:45:39.8450",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,450,"W 49 St & 8 Ave",40.76227205,-73.98788205,19363,"Subscriber",1991,1
652,"2018-01-02 18:45:52.5360","2018-01-02 18:56:44.7950",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,3635,"W 36 St & 9 Ave",40.75462324029105,-73.99516761302948,29990,"Subscriber",1969,1
1325,"2018-01-02 19:11:45.3440","2018-01-02 19:33:51.1940",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,487,"E 20 St & FDR Drive",40.73314259,-73.97573881,26382,"Subscriber",1966,1
359,"2018-01-02 19:49:25.3460","2018-01-02 19:55:25.1230",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,479,"9 Ave & W 45 St",40.76019252,-73.9912551,30487,"Subscriber",1974,1
668,"2018-01-02 20:00:36.6980","2018-01-02 20:11:45.4090",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,3233,"E 48 St & 5 Ave",40.75724567911726,-73.97805914282799,33437,"Subscriber",1957,1
362,"2018-01-02 20:14:17.5950","2018-01-02 20:20:20.4820",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,469,"Broadway & W 53 St",40.76344058,-73.98268129,28965,"Subscriber",1979,1
665,"2018-01-02 20:15:24.1260","2018-01-02 20:26:29.7260",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,359,"E 47 St & Park Ave",40.75510267,-73.97498696,30710,"Subscriber",1989,1
469,"2018-01-02 20:21:38.1120","2018-01-02 20:29:27.3080",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,3356,"Amsterdam Ave & W 66 St",40.7746671,-73.98470567,31279,"Subscriber",1992,1
383,"2018-01-02 21:09:14.4670","2018-01-02 21:15:37.6880",72,"W 52 St & 11 Ave",40.76727216,-73.99392888,450,"W 49 St & 8 Ave",40.76227205,-73.98788205,31311,"Subscriber",1983,1
